Publication,Website Traffic (Visitors),Call for Pitches,Pay Range Per Article
Business Insider,108 million monthly,"Lifestyle stories: https://www.linkedin.com/posts/paige-difiore_bi-pitch-call-out-activity-7404902259316379648-69_8/ https://www.linkedin.com/posts/mykennamaniece_business-insider-lifestyle-pitches-2026-activity-7409334529234165762-PCAe/, and https://www.linkedin.com/posts/stephaniestatile_linkedin-activity-7407808251452424192-fJPj/","$200 to $1,500 per article | $5,000 per video article. "
Business Insider,108 million monthly,"Lifestyle, wellness, and fitness stories: https://www.linkedin.com/posts/claudia-willen-142364103_freelancers-freelancewriting-share-7426959984464297984-TZvZ/","$200 to $1,500 per article | $5,000 per video article. "
BuzzFeed,51.4 million monthly,Personal essays: https://www.linkedin.com/feed/update/urn:li:activity:7422787479700795392/,"$150 to $3,000 per article | $10,000 to $20,000 per video article."
Cosmopolitan,33.2 million monthly,"Opinion, interviews, and introspective pieces: https://www.threads.com/@tamarafuentes_/post/DTjBYMpDkNy","$4,500 to $10,000 per written articles | $10,000 to $30,000 per video article."
Cosmopolitan,33.2 million monthly,Women's topics: https://x.com/ErinRoseQ/status/1821232955915997358,"$4,500 to $10,000 per written articles | $10,000 to $30,000 per video article."
Cyclingnews,2.6 million monthly,Cycling: https://www.linkedin.com/posts/matilda-price-462065144_im-looking-to-add-a-few-new-freelance-feature-activity-7396146243644858368-4UAG/,$1 per word.
DiningOut Magazine ,"30,000 monthly","Dallas, Houston, and Atlanta writers: https://www.linkedin.com/feed/update/urn:li:activity:7396572909345017856/",$1 per word.
Esquire,16.1 million monthly,Features and essays: https://x.com/chris_hatler/status/1985391168859890085,"$1 to $3 per word | $10,000 to $15,000 per video article."
Fodor's Travel,1.1 million monthly,Hot travel takes: https://www.linkedin.com/posts/nicolevargas_fodors-is-looking-for-some-hot-takes-for-activity-7386099339586293760-8g1g/,"$200 to $1,500 per article | $5,000 per video article."
GameSpot’s,90 million montly,Games and internet culture pitches: https://bsky.app/profile/awildjessichu.bsky.social/post/3mboyhobyok2f,$150 to $800 per article.
Gizmodo,15.7 million monthly,Want to assign science and tech articles: https://www.linkedin.com/posts/georgedvorsky_im-looking-for-a-freelance-editor-to-help-activity-7394384160091643905-RrQc/,$1 to $2 per word. 
GQ,7.9 million monthly,Style and grooming: https://www.linkedin.com/posts/robert-leedham-25046726_fancy-writing-for-british-gq-were-on-the-activity-7422700038587596803-uaq-/,"$500 to $2,000 per article | $5,000 per video article. "
Hims & Hers,4.8 million monthly,Health and women's freelancers: https://www.linkedin.com/posts/corinne-o-keefe-osborn_calling-all-health-writers-and-editors-activity-7402035572841816064-HEKB/,$1 per word.
Honest Talk,"20,000 monthly",Women stories: https://www.linkedin.com/posts/the-honest-talk_freelancer-calloutthe-honest-talk-is-growing-activity-7354219645219872768-DlZF/,$1 per word.
International Living,"688,000 monthly",Travel pitches: https://internationalliving.com/about-il/write-for-il/,$1 per word.
Intrepid Times,1.6 million monthly,Travel pitches: https://www.linkedin.com/feed/update/urn:li:activity:7394310453293748224/,"$500 to $1,000 per article. "
Intrepid Travel,1.8 million monthly,Travel stories: https://www.linkedin.com/posts/laura-holt-48992217_were-commissioning-over-at-intrepid-travel-activity-7414622192770072576-KFkX?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAAhlLoUBZFsHVGiE17CHhnlPvTouG_kAQsU,"$1 per word | $5,000 per video article. "
Late Checkout,"200,000 monthly",Lifestyle pitches: https://www.linkedin.com/posts/dariarosesmith_lc-pitching-guidelines-activity-7401683769256218624-LIwL/,$150 for 200 words.
Matador Network,"248,000 monthly",Travel pitches and creators: https://creators.matadornetwork.com/paid-gigs/0nj3m9n6/,$200 to $300 per article.
MIT Technology Review,15 million monthly,Nature and tech: https://www.linkedin.com/posts/rcourtland_writingopportunity-share-7396963275378376704-NXpH/,$1 to $3 per word.
MIT Technology Review,15 million monthly,Print isse pitches: https://www.linkedin.com/posts/rcourtland_writingopportunity-activity-7418001057127034880-tzEv/,$1 to $3 per word.
MIT Technology Review,15 million monthly,Stories and opinion pitches about tech: https://www.linkedin.com/posts/charlotte-jee-96390814_writingopportunity-activity-7414313507439185920-ccc9?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAAhlLoUBZFsHVGiE17CHhnlPvTouG_kAQsU,$1 to $3 per word.
Narratively,"475,000 monthly",True crime stories: https://www.narrativelyacademy.com/p/call-for-pitches-true-crime-epics,"$1,500 to $8,000 per article."
National Culinary Review,"200,000 monthly",Food and hospitality: https://www.linkedin.com/posts/kerstin-kuhn21_hello-linkedin-community-as-i-step-into-activity-7401684722650644481-DbhL,$1 per word.
National Geographic,8.6 millon monthly,Kids stories: https://ttj51ygan9g.typeform.com/to/vtdwJSXl?typeform,$1 per word.
New York Post,97.7 million monthly,Lifestyle articles: https://www.linkedin.com/posts/fbuontempo_thank-you-to-everyone-who-has-reached-out-activity-7375925380576190464-uHcm/,"$1 to $4 per word | $5,000 to $10,000 per video article. "
Newsweek,70.2 million monthly,Personal essays: https://x.com/RheanaMurray/status/1967624499492483286?s=20,$250 per article.
New Scientist,3.2 million monthly,"Health, neuroscience and psychology-related stories: https://www.linkedin.com/posts/alexandra-thompson-51b4b758_happy-new-year-i-know-were-five-days-in-activity-7413954998235205632-qsuI/",$1 to $2 per word.
Noem Magazine,"178,000 monthly",AI and tech: https://bsky.app/profile/franciswade.bsky.social/post/3lhvyqpt3os2p,$1.50 per word.
NOTHING PERSONAL,"49,600 monthly",Tech freelancers: https://www.linkedin.com/posts/bourreelam_nothing-personal-a-new-editorial-platform-activity-7388625549642035201-Siqb/,$1 per word.
Playboy,2.3 million monthly,Reported features for digital: https://x.com/magdajtaylor/status/1998083085276221949?s=20,$1 per word.
Popular Science,80.9 million monthly,Science and tech features: https://www.linkedin.com/posts/courtneylinder_my-team-at-popular-mechanics-is-seeking-seasoned-activity-7423107271905345537-zLIT/,"$1,000 to $5,000 per article | $5,000  to $10,000 per video article. "
Questrade,13.4 million monthly,Pitches about money: https://www.linkedin.com/posts/katangus_calling-all-writers-im-the-deputy-editor-activity-7412948608146309120-Sme5/,$1 per word.
Reader's Digest,12 million monthly,"Essays, reported, and long form lifestyle articles: https://www.linkedin.com/posts/dawn-yanek-18113b57_hi-everyone-im-building-out-readers-digests-activity-7391495457371226112-Y1zp/",$1 per word.
RUNHER,"150,000 monthly",Women's runners: https://x.com/ashleymateo/status/1995500258009440273,.50 to $1 per word.
Senior Planet ,2.1 million monthly,Wants to assign scams/medical articles: https://www.linkedin.com/posts/lori-kristofka_hello-senior-planet-is-on-the-lookout-for-activity-7384304464054145025-bvvb/,$1 per word.
Slate,11.1. million monthly,Features and stories: https://bsky.app/profile/jenee.bsky.social/post/3m5c7lhevyu2i,$1 per word.
Stylist,1 million monthly ,First person essays: https://www.linkedin.com/posts/ellencscott_attention-writers-i-am-in-desperate-need-activity-7399851700423065600-yaVs/,$1 per word.
The Hustle,2 million monthly,Reported pitches on business and finance: https://docs.google.com/document/d/1tx9NV87x6KpOTrSInGSpdHDlG7_jpMWQb2E4hWb5_H0/edit?tab=t.0,$0.80-$1 per word
The Kitchn,29.4 million monthly,Pitches about home: https://www.linkedin.com/posts/micki-wagner-a9800a134_calling-all-freelance-shopping-writers-activity-7417284376478134272-0V1b/,$150 per 300-word article. 
The Telegraph,42.2 milllion monthly,Finance pitches: https://x.com/ipr1ya/status/1990426007317188826,$1 per word.
US Weekly,14.55 million monthly,"Fashion, beauty, lifestyle, commerce: https://www.linkedin.com/feed/update/urn:li:activity:7415096381578895360/","$1,500 to $6,000 per written article | $8,000 to $20,000 per video article"
USA Today,118.3 million monthly,Tech and branded content: https://www.linkedin.com/posts/danielle-page-7288a216_hi-all-usats-branded-content-studio-is-activity-7380971009060921344-Itzo/,"$2,000 to $10,000 PER article. "
Vogue Business,"48,000 monthly ","Features, compelling stories, analysis and news pitches: https://www.linkedin.com/feed/update/urn:li:activity:7420849163992449025/","$500 to $2,000 per article | $5,000 per video article. "
Wine Enthusiast,"600,000 monthly",Lifestyle pitches for the print magazine: https://docs.google.com/document/d/11lQkqF1Z2crjI8gPZp4rkTI1p2Kp3sdg/edit,$1 to $2 per word.
WIRED,17.7 million monthly,Middle East stories: https://www.linkedin.com/posts/dana-alomar_calling-freelancers-were-open-to-contributions-activity-7406243416583622656-Hj_R/,"$2,500 to $10,000 per article | $5,000 to $10,000 per audio or video article."
Yahoo News,3.2 billion monthly,Lifestyle topics: https://www.linkedin.com/feed/update/urn:li:activity:7387570192098226176/,"$300 to $1,000 per article. "
